sample_id,Sunitinib,Everolimus,Temozolomide,Cisplatin,Etoposide,5-FU,Ribociclib,molecular_subtype
GSE118014_GSM3317251,1.8955480955739934,6.137209284512273,4.487452766315936,-4.569126749103839,5.881973720182627,-6.224494197959942,5.683224888979052,C1
GSE118014_GSM3317252,1.0559183568881065,6.2579299180153125,4.897098191214291,-4.902614814438382,3.811540533452778,-3.5246807468315335,5.222001030113777,C1
GSE118014_GSM3317253,2.7666622407518044,5.873309980388379,3.8861693573601306,-4.608711299862016,5.041298829783846,-5.768228052685155,7.0812610965160685,C1
GSE118014_GSM3317254,2.224099361539901,5.8382985042027595,3.938492487983515,-4.131457325142504,0.7123559239288124,-3.3544139422953227,5.962377946853584,C1
GSE118014_GSM3317255,1.25936304887727,6.364300146724711,4.89766101198359,-5.696768245066414,6.289882255918122,-6.337632404337894,6.371902241391783,C1
GSE118014_GSM3317256,2.9535352872884917,5.958261643600506,4.164307956656533,-4.951786781802034,3.039341359402953,-4.752373799124983,5.717171767698863,C1
GSE118014_GSM3317257,0.9280198049585194,6.082645382311311,4.4023491316652885,-6.233798260303795,5.038085111641118,-5.552505078603369,5.687122473803177,C1
GSE118014_GSM3317258,1.757884330516101,5.558002418775575,3.4052309494261146,-4.78227620528537,3.4204057058983817,-6.5423634331090845,6.579991395633238,C1
GSE118014_GSM3317259,3.0876616683741664,5.931895424600743,4.032851567735654,-5.142737347190291,2.364822852904438,-6.930982925706475,5.843225811945391,C1
GSE118014_GSM3317261,1.879934511787712,6.25264150386826,4.741077164013893,-4.607931386922874,5.621954721197582,-5.719774340081302,5.866422277533272,C1
GSE118014_GSM3317262,2.026714279117706,5.7634573728889755,3.6926370651346083,-5.390475163377279,2.5326184551973796,-2.496618955456722,4.890179949516821,C1
GSE118014_GSM3317263,3.413518085306861,6.131331773286346,4.5222602331167,-4.332248875172649,5.439868435933018,-6.689953888298771,5.554245097489498,C1
GSE118014_GSM3317264,1.7970329359063388,6.131146391682179,4.491863541279996,-5.565420452432379,3.666315254752874,-3.9125790991820493,5.378196799906624,C1
GSE118014_GSM3317265,3.0889128262873813,5.772201840843367,3.776954548461503,-4.673630968644649,0.6510603680312945,-2.5406745087626073,5.109417154816164,C1
GSE118014_GSM3317266,0.7670334134306951,5.948045596689418,4.165445471304005,-6.103577683483054,3.33237922615349,-4.639928896446541,4.195544749998315,C1
GSE118014_GSM3317267,3.541754479177119,5.891384944572765,3.9697790935084853,-4.782953151983135,4.961559751663679,-5.832159682923319,6.18457777069096,C1
GSE118014_GSM3317268,3.2089859267162475,5.92171536293822,4.047001561943267,-4.274854961204756,2.928538598952246,-6.680747954735778,5.925722822968091,C1
GSE118014_GSM3317269,2.1397841662613004,5.8139259535079315,4.099350683397448,-4.537795770439607,2.4516284066624885,-1.6605137790822189,4.735564679848445,C1
GSE118014_GSM3317270,3.1284107002359978,5.817278702280148,3.7958464795574467,-4.3047548770950925,2.2062037805774874,-3.315539776705652,4.133244364352587,C1
GSE118014_GSM3317271,1.4135679633763025,6.30038072359229,4.884821642690168,-3.4343567166605307,0.01164670807064115,-3.5423679810410547,5.800677567368236,C1
GSE118014_GSM3317272,2.102636803096801,6.001409852667778,4.146986553937024,-5.973417846402624,2.6243883003848048,-6.171246100712517,5.254854695740061,C1
GSE118014_GSM3317273,1.1681729980121647,5.942127488165649,4.43072000350151,-5.77254061859324,6.626358704571073,-7.206937742369309,3.800370231985775,C1
GSE118014_GSM3317274,2.073536511927334,6.462650052692897,5.12020103760565,-5.114298042843055,6.4233085698241235,-6.163606533969702,5.16590021499739,C1
GSE118014_GSM3317275,1.8953325226798565,6.16707836460848,4.606930133337656,-6.0732588708047395,0.00582122872131298,-1.5392917611697259,3.7629183601887966,C1
GSE118014_GSM3317276,3.9846287113154806,6.21052455977633,4.527870679683873,-4.701643676449897,6.088118690781875,-5.299988223211356,5.302261637242894,C1
GSE118014_GSM3317277,0.6513490842511651,6.339794385716527,5.048751057891012,-5.1453607519532785,0.00748125873842117,-0.14500003797355893,4.661200356957632,C1
GSE118014_GSM3317278,0.9432307947588061,6.1306873566947875,4.61532752854143,-5.252385129492711,5.2225187035666085,-5.624056470821194,3.8116532776763767,C1
