ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0070374,positive regulation of ERK1 and ERK2 cascade,36/1943,197/18986,0.18274111675126903,1.7856525180852258,3.7426607760755273,4.1357064248558094e-4,0.017474125516575956,0.016033319566770437,7936/222166/2852/338557/57007/5609/25865/6376/3965/2324/2185/1436/920/6366/972/10268/59/5159/2621/10347/6348/5155/728/3791/348/1236/5788/116/3123/846/4282/3383/5345/6363/2246/3479,36
GO:0043491,phosphatidylinositol 3-kinase/protein kinase B signal transduction,52/1943,317/18986,0.1640378548895899,1.6028938306401206,3.6549262837072405,4.211884073034455e-4,0.0176651373180798,0.0162085817423586,2852/207/201163/51547/2214/5296/6352/6376/4150/5025/222950/5364/2185/1436/5777/6366/10268/5159/3059/2268/2621/6348/3481/23533/375033/2022/5155/10411/1634/3791/2321/101/57333/1292/114897/197358/1236/3630/55512/55615/56917/1291/634/3643/958/4915/6237/6363/9037/1293/219699/3479,52
GO:0002285,lymphocyte activation involved in immune response,40/1943,227/18986,0.1762114537444934,1.7218479983494348,3.694218020401458,4.4292473481289416e-4,0.01838941587381497,0.016873140865986572,56941/4297/2214/3134/3965/7305/26022/2185/972/6778/2213/6556/3122/10859/11151/3718/6482/5450/4818/3683/2207/3566/3109/6097/3726/114836/8741/5788/201294/911/4063/64218/3123/6693/3383/3662/634/3394/958/6363,40
GO:0051250,negative regulation of lymphocyte activation,32/1943,169/18986,0.1893491124260355,1.850222464498564,3.748602707816277,4.44905222753588e-4,0.01838941587381497,0.016873140865986572,8764/7940/7805/8379/3965/7305/374403/5777/2615/972/2268/3659/2213/10288/10859/3718/135/3133/3566/11326/10077/11314/2302/3635/11006/7128/3123/1493/3559/54900/6693/1840,32
GO:0002886,regulation of myeloid leukocyte mediated immunity,15/1943,57/18986,0.2631578947368421,2.57144405016659,4.011817737873175,4.610901823226226e-4,0.018862328534785786,0.017307060137845085,3965/6688/3689/7305/2242/2268/2213/6813/8832/3133/3566/11314/5880/201294/8673,15
GO:0042060,wound healing,68/1943,444/18986,0.15315315315315314,1.4965341048717269,3.574628877483628,4.6613648430314606e-4,0.018862328534785786,0.017307060137845085,26258/55330/349633/2039/5119/8525/646960/27183/4855/79643/358/3043/7450/50848/6376/947/401720/50506/94/57175/5777/58189/710/6556/64581/2621/10398/4162/375033/2022/5155/135/2207/10077/4846/954/2828/2162/1465/3791/348/5639/114897/1281/7128/1609/3630/977/9002/1364/389/1365/5265/634/5341/64094/240/958/5345/5493/3932/2812/2246/3479/53905/253970/5054/3170,68
GO:0010720,positive regulation of cell development,70/1943,460/18986,0.15217391304347827,1.4869654724876369,3.5698908227030084,4.662672376235617e-4,0.018862328534785786,0.017307060137845085,2852/745/9148/26011/22933/29882/5605/1003/7704/10458/50848/118813/6376/10013/3965/6688/7305/2353/9580/7133/5364/2242/10800/9840/79006/920/7122/972/9294/3059/64581/2621/85358/10288/3122/3561/7052/3575/4135/816/81501/3566/84630/3635/11006/101/8111/9370/5788/939/57465/8153/4739/6604/1960/7535/54440/3123/9423/6692/3559/51412/4915/6363/9037/6387/1435/176/429/4323,70
GO:0070875,positive regulation of glycogen metabolic process,8/1943,20/18986,0.4,3.908594956253217,4.394192216136244,4.824530859870036e-4,0.019379664806125834,0.0177817401299287,207/90673/3481/2645/3630/79660/3643/3479,8
GO:0002703,regulation of leukocyte mediated immunity,44/1943,258/18986,0.17054263565891473,1.6664552139064102,3.6391822169119257,4.903091301517862e-4,0.019557505443257264,0.017944917152113958,56941/3134/3965/6688/3689/7305/84861/7133/2242/5777/6778/2268/2213/10865/64581/2671/3122/10859/6813/3718/3575/8832/3133/3566/3824/11314/2302/11006/114836/5880/8741/5788/201294/3554/911/115727/54440/3123/684/6693/3383/634/958/8673,44
GO:0035592,establishment of protein localization to extracellular region,59/1943,374/18986,0.15775401069518716,1.5414913263298113,3.571079039582526,5.077069893894396e-4,0.01994212196135037,0.01829782062298554,84300/26258/79613/128989/51030/80024/25874/2852/201158/340307/780776/441294/79751/5715/8398/65985/9746/8938/6352/322/10307/90007/63941/415116/3767/51092/6927/2615/79792/9619/5551/2645/135/55107/10411/10312/6833/79651/348/101/57333/8111/3630/3651/116/5799/3123/846/5798/93145/111/43/2696/5341/240/640/3479/114131/3170,59
